req_ts,unique_id,railroad,origination_time,trip_id,train_no,route,direction,stop,scheduled_arrival_time,arrival_time,scheduled_departure_time,departure_time,schedule_relationship,trip_schedule_relationship,inferred_from_schedule
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Grafton,1785553320,1785553320,1785553320,1785553320,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Westborough,1785553560,1785553560,1785553560,1785553560,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Southborough,1785554100,1785554100,1785554100,1785554100,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Ashland,1785554400,1785554400,1785554400,1785554400,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Framingham,1785554940,1785554940,1785554940,1785554940,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,West Natick,1785555300,1785555300,1785555300,1785555300,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Natick Center,1785555540,1785555540,1785555540,1785555540,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Wellesley Square,1785555840,1785555840,1785555840,1785555840,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Wellesley Hills,1785556080,1785556080,1785556080,1785556080,SCHEDULED,SCHEDULED,True
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Wellesley Farms,1785556200,1785556200,1785556200,1785556200,SCHEDULED,SCHEDULED,True
1785557160,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Boston Landing,1785556860,1785557183,1785556860,1785557183,SCHEDULED,SCHEDULED,False
1785557460,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Lansdowne,1785557160,1785557486,1785557160,1785557486,SCHEDULED,SCHEDULED,False
1785557790,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Back Bay,1785557520,1785557701,1785557520,1785557701,SCHEDULED,SCHEDULED,False
1785558360,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,South Station,1785557880,1785558241,1785557880,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,North Station,1785552600,1785552600,1785552600,1785552600,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Chelsea,1785553260,1785553260,1785553260,1785553260,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,River Works,1785553680,1785553680,1785553680,1785553680,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Lynn Interim,1785553920,1785553920,1785553920,1785553920,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Swampscott,1785554100,1785554100,1785554100,1785554100,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Salem,1785554520,1785554520,1785554520,1785554520,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Beverly,1785554760,1785554760,1785554760,1785554760,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Montserrat,1785555000,1785555000,1785555000,1785555000,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Beverly Farms,1785555300,1785555300,1785555300,1785555300,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Manchester,1785555660,1785555660,1785555660,1785555660,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,West Gloucester,1785556020,1785556020,1785556020,1785556020,SCHEDULED,SCHEDULED,True
,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Gloucester,1785556320,1785556320,1785556320,1785556320,SCHEDULED,SCHEDULED,True
1785557250,MBTA|20260731|89|NorthBase-830285-89,MBTA,1785552600,NorthBase-830285-89,89,Newburyport/Rockport Line,Outbound,Rockport,1785557160,1785557260,1785557160,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Wachusett,1785552900,1785552900,1785552900,1785552900,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Fitchburg,1785553380,1785553380,1785553380,1785553380,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,North Leominster,1785553800,1785553800,1785553800,1785553800,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Shirley,1785554280,1785554280,1785554280,1785554280,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Ayer,1785554580,1785554580,1785554580,1785554580,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Littleton/Route 495,1785555060,1785555060,1785555060,1785555060,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,South Acton,1785555420,1785555420,1785555420,1785555420,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,West Concord,1785555660,1785555660,1785555660,1785555660,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Concord,1785555900,1785555900,1785555900,1785555900,SCHEDULED,SCHEDULED,True
